INF-acer03;08:8F:C3:8C:08:a0;10.10.70.3
INF-acer04;08:8F:C3:8C:05:F8;10.10.70.4
INF-acer05;08:8f:C3:8C:05:DC;10.10.70.5
INF-acer06;08:8F:C3:8B:FE:E0;10.10.70.6
INF-acer07;08:8F:C3:8B:F5:81;10.10.70.7
INF-acer08;08:8F:C3:8B:EF:C9;10.10.70.8
INF-acer09;08:8F:C3:8C:05:eF;10.10.70.9
INF-acer10;08:8f:C3:8C:08:64;10.10.70.10
INF-acer11;08:8F:C3:8B:EE:A6;10.10.70.11
INF-acer12;08:8F:C3:8C:06:DA;10.10.70.12
INF-acer13;08:8F:C3:8B:F0:56;10.10.70.13
INF-acer14;08:8F:C3:8C:03:c4;10.10.70.14
INF-acer15;08:8F:C3:8B:Fa:3D;10.10.70.15
INF-acer16;08:8F:C3:8C:01:10;10.10.70.16
INF-acer17;08:8F:C3:8C:05:8C;10.10.70.17
INF-acer18;08:8F:C3:8B:FE:91;10.10.70.18
INF-acer19;08:8F:C3:8C:05:eA;10.10.70.19
INF-acer20;08:8F:C3:8B:DC:60;10.10.70.20
INF-acer21;08:8F:C3:8C:06:dB;10.10.70.21
INF-acer22;08:8F:C3:8C:08:9B;10.10.70.22
INF-acer23;08:8F:C3:8C:02:A0;10.10.70.23
INF-acer24;08:8F:C3:8C:08:DE;10.10.70.24
INF-acer25;08:8F:C3:8C:02:Ba;10.10.70.25
INF-acer26;08:8F:C3:8C:05:eC;10.10.70.26
INF-acer27;08:8F:C3:8C:06:E6;10.10.70.27
INF-acer28;08:8f:C3:8B:FD:C5;10.10.70.28
INF-acer29;08:8F:C3:8B:DC:58;10.10.70.29
INF-acer30;08:8F:C3:8C:08:40;10.10.70.30
INF-acer31;08:8F:C3:8C:05:Cf;10.10.70.31
INF-acer32;08:8F:C3:8C:05:f5;10.10.70.32
INF-w-acer03;14:5A:FC:88:A9:43;10.10.71.3
INF-w-acer04;14:5A:FC:88:A9:41;10.10.71.4
INF-w-acer05;14:5A:FC:88:A9:B3;10.10.71.5
INF-w-acer06;14:5A:FC:88:A9:99;10.10.71.6
INF-w-acer07;14:5A:FC:88:9E:75;10.10.71.7
INF-w-acer08;14:5A:FC:8A:87:57;10.10.71.8
INF-w-acer09;14:5A:fC:88:A9:35;10.10.71.9
INF-w-acer10;14:5A:FC:88:A9:33;10.10.71.10
INF-w-acer11;14:5A:FC:88:BA:07;10.10.71.11
INF-w-acer12;14:5A:FC:88:A9:49;10.10.71.12
INF-w-acer13;14:5A:FC:88:9C:0D;10.10.71.13
INF-w-acer14;14:5A:FC:88:9F:79;10.10.71.14
INF-w-acer15;14:5A:FC:8A:40:09;10.10.71.15
INF-w-acer16;14:5A:FC:88:A8:f1;10.10.71.16
INF-w-acer17;14:5A:FC:88:9B:D5;10.10.71.17
INF-w-acer18;14:5A:FC:88:9F:9F;10.10.71.18
INF-w-acer19;14:5A:FC:88:A8:cF;10.10.71.19
INF-w-acer20;14:5A:FC:88:9F:bF;10.10.71.20
INF-w-acer21;14:5A:FC:88:9F:95;10.10.71.21
INF-w-acer22;14:5A:FC:88:A8:e1;10.10.71.22
INF-w-acer23;14:5A:FC:88:A0:4B;10.10.71.23
INF-w-acer24;14:5A:FC:88:A0:47;10.10.71.24
INF-w-acer25;14:5A:FC:88:A9:2F;10.10.71.25
INF-w-acer26;14:5A:FC:8A:40:29;10.10.71.26
INF-w-acer27;14:5A:FC:88:9B:C7;10.10.71.27
INF-w-acer28;14:5A:FC:88:71:F3;10.10.71.28
INF-w-acer29;14:5A:FC:88:BA:09;10.10.71.29
INF-w-acer30;14:5A:FC:88:A8:BB;10.10.71.30
INF-w-acer31;14:5A:FC:88:A9:77;10.10.71.31
INF-w-acer32;14:5A:FC:88:A8:C1;10.10.71.32
